2021-06-27 20:06:653 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 20:06:996 INFO  HomePage :29 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (eff0b6ee5b3a56c16462e14273f5b17b)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 20:06:625 INFO  BankManagerLoginPage :22 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (eff0b6ee5b3a56c16462e14273f5b17b)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 20:06:265 INFO  AddCustomerPage :34 - Enter first name[[ChromeDriver: chrome on WINDOWS (eff0b6ee5b3a56c16462e14273f5b17b)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 20:06:464 INFO  AddCustomerPage :39 - Enter last name[[ChromeDriver: chrome on WINDOWS (eff0b6ee5b3a56c16462e14273f5b17b)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 20:06:685 INFO  AddCustomerPage :44 - Enter postcode[[ChromeDriver: chrome on WINDOWS (eff0b6ee5b3a56c16462e14273f5b17b)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 20:06:54 INFO  AddCustomerPage :49 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (eff0b6ee5b3a56c16462e14273f5b17b)] -> xpath: //button[@type='submit']]
2021-06-27 20:06:386 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 20:06:771 INFO  HomePage :29 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (87b606c5666298ef5fc2e3dee0c9f17e)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 20:06:36 INFO  BankManagerLoginPage :22 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (87b606c5666298ef5fc2e3dee0c9f17e)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 20:06:544 INFO  AddCustomerPage :34 - Enter first name[[ChromeDriver: chrome on WINDOWS (87b606c5666298ef5fc2e3dee0c9f17e)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 20:06:731 INFO  AddCustomerPage :39 - Enter last name[[ChromeDriver: chrome on WINDOWS (87b606c5666298ef5fc2e3dee0c9f17e)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 20:06:924 INFO  AddCustomerPage :44 - Enter postcode[[ChromeDriver: chrome on WINDOWS (87b606c5666298ef5fc2e3dee0c9f17e)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 20:06:139 INFO  AddCustomerPage :49 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (87b606c5666298ef5fc2e3dee0c9f17e)] -> xpath: //button[@type='submit']]
2021-06-27 21:06:463 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 21:06:561 INFO  HomePage :29 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (2301ba8a2138e4745cfbb3033ada68b1)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:780 INFO  BankManagerLoginPage :22 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (2301ba8a2138e4745cfbb3033ada68b1)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 21:06:371 INFO  AddCustomerPage :34 - Enter first name[[ChromeDriver: chrome on WINDOWS (2301ba8a2138e4745cfbb3033ada68b1)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 21:06:504 INFO  AddCustomerPage :39 - Enter last name[[ChromeDriver: chrome on WINDOWS (2301ba8a2138e4745cfbb3033ada68b1)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 21:06:638 INFO  AddCustomerPage :44 - Enter postcode[[ChromeDriver: chrome on WINDOWS (2301ba8a2138e4745cfbb3033ada68b1)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 21:06:808 INFO  AddCustomerPage :49 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (2301ba8a2138e4745cfbb3033ada68b1)] -> xpath: //button[@type='submit']]
2021-06-28 18:06:40 INFO  BasePage :34 - Launching Chrome Browser 
